Latitude,Longitude,Min Net Field,Max Net Field
67.1124705,24.9337997,37.283,46.352
67.5833332,25.096124,38.059,71.013
67.6496447,25.1459057,37.811,57.706
67.6589583,25.1501848,34.018,61.317
67.6798211,25.1629541,39.709,58.812
67.6984488,25.1641416,50.337,58.526
67.6995665,25.164318,49.112,63.94
67.7245279,25.1640451,48.483,57.402
67.7569411,25.1586224,53.083,62.608
67.7625172,25.1585048,52.875,58.333
67.7629022,25.1627191,51.844,60.096
67.7636474,25.1642402,52.051,61.074
67.8001596,25.1671722,53.595,63.785
67.8094741,25.1770599,54.311,62.686
68.0222268,26.4223735,28.92,37.406
68.2800821,26.1294976,40.824,60.99
68.2946148,26.1861567,38.554,61.937
68.2979685,26.1010889,29.871,35.547
68.3270337,25.3952842,34.631,37.607
68.3274064,25.403431,26.709,31.533
68.3277712,25.4036909,25.268,32.325
68.3281251,25.4039958,23.582,36.768
68.3281265,25.403855,28.216,33.56
68.3281516,25.4003803,22.607,39.007
68.3281831,25.4038666,24.253,35.414
68.3283319,25.4042082,26.313,34.454
68.3287138,25.4043025,27.732,35.793
68.3294691,25.4036931,30.75,35.846
68.3301786,25.4025333,26.941,31.808
68.3393306,25.4140597,27.531,34.939
68.3441748,26.3230305,42.109,54.208
68.3710044,26.2388731,34.525,53.72
70.4307318,29.2593894,38.314,64.751
70.443377,29.2769967,29.996,56.914
70.448597,29.2836661,39.369,46.876
70.4486399,29.2836718,40.814,45.29
70.4493276,29.2914961,36.288,49.202
70.4503433,29.2904207,38.94,44.862
70.4503876,29.2904883,39.294,44.862
70.4506088,29.2894995,38.878,46.07
70.450796,29.2929083,42.832,50.77
70.4508683,29.2932658,46.235,50.813
70.4511871,29.2966589,41.865,49.961
70.4512629,29.286899,40.117,45.438
70.4519139,29.2941863,43.203,48.761
70.452256,29.2948433,43.725,48.285
70.4531436,29.2960512,42.289,49.496
70.4557041,29.2986135,42.88,48.544
70.4567657,29.3020365,41.063,52.451
71.0232187,31.5565912,31.356,52.948
71.0596195,31.5697275,32.228,42.35
71.0603623,31.5698412,36.761,39.152
71.0611693,31.6160818,40.47,48.954
71.0614766,31.6129551,36.19,50.269
71.0614963,31.6164076,41.685,46.113
71.0615758,31.6164026,43.245,43.987
71.0620116,31.6163671,41.011,46.78
71.0625246,31.6162925,41.873,46.399
71.0629623,31.6169609,40.622,46.536
71.0711293,31.6183977,39.756,47.501
71.0713392,31.618479,39.532,46.506
71.0713394,31.6184952,41.72,45.906
71.0713396,31.6184919,37.582,42.944
71.0713452,31.618484,39.216,40.214
71.0713466,31.6184871,31.508,71.744
71.0713502,31.618493,39.64,52.248
71.0713504,31.6184981,42.585,48.296
71.0713518,31.6184982,38.188,42.648
71.0715048,31.619643,40.699,46.64
